cuisine,ingredients_count
greek,9
southern_us,11
filipino,12
indian,4
indian,20
jamaican,12
spanish,13
italian,10
mexican,13
italian,6
italian,13
chinese,15
italian,10
mexican,17
italian,12
indian,10
british,4
italian,4
thai,4
vietnamese,13
thai,12
mexican,6
southern_us,6
chinese,12
italian,9
chinese,15
cajun_creole,10
italian,11
chinese,14
mexican,4
italian,5
cajun_creole,16
mexican,9
thai,17
italian,8
cajun_creole,9
italian,8
filipino,10
southern_us,8
southern_us,14
italian,8
brazilian,5
mexican,12
indian,10
mexican,11
chinese,8
french,6
southern_us,8
southern_us,7
southern_us,6
japanese,12
southern_us,10
italian,14
southern_us,10
italian,4
jamaican,22
japanese,9
indian,6
italian,4
irish,8
thai,6
thai,12
indian,14
jamaican,20
italian,9
thai,8
korean,14
french,5
french,9
southern_us,7
spanish,7
indian,22
moroccan,8
italian,8
italian,11
moroccan,16
moroccan,17
vietnamese,3
japanese,6
mexican,6
cajun_creole,17
southern_us,9
french,10
indian,17
indian,5
italian,8
italian,10
indian,8
korean,2
spanish,8
italian,4
southern_us,9
southern_us,6
greek,6
mexican,7
mexican,17
southern_us,11
indian,15
italian,6
italian,7
italian,9
japanese,8
italian,7
greek,6
korean,12
indian,10
mexican,3
southern_us,16
irish,17
korean,10
chinese,16
mexican,11
southern_us,7
chinese,13
moroccan,17
irish,9
chinese,14
irish,10
mexican,8
italian,9
italian,14
italian,15
jamaican,20
mexican,8
japanese,7
spanish,10
chinese,11
mexican,6
british,8
indian,12
thai,12
southern_us,12
mexican,4
spanish,6
french,7
italian,10
indian,9
british,5
spanish,11
italian,10
korean,5
indian,14
mexican,18
mexican,2
southern_us,8
french,7
cajun_creole,14
indian,11
chinese,10
italian,4
italian,14
italian,11
southern_us,13
greek,13
japanese,17
cajun_creole,6
italian,7
korean,13
mexican,10
indian,9
italian,9
mexican,7
korean,7
chinese,13
french,16
chinese,13
spanish,15
chinese,14
spanish,12
japanese,13
mexican,11
french,5
japanese,9
mexican,15
italian,14
filipino,9
southern_us,9
italian,12
italian,15
chinese,16
mexican,17
indian,7
korean,10
mexican,15
mexican,16
japanese,6
greek,12
mexican,10
southern_us,7
chinese,6
british,5
japanese,8
italian,15
mexican,6
irish,8
greek,11
cajun_creole,5
japanese,10
italian,14
southern_us,17
southern_us,11
southern_us,5
italian,12
indian,11
chinese,15
japanese,5
mexican,13
mexican,6
french,10
mexican,9
mexican,17
irish,20
chinese,12
mexican,5
greek,15
korean,4
mexican,14
spanish,15
italian,13
southern_us,9
italian,9
mexican,4
french,7
mexican,8
french,8
filipino,11
mexican,13
mexican,8
italian,11
mexican,14
southern_us,7
italian,5
japanese,12
italian,8
mexican,8
mexican,9
southern_us,10
southern_us,16
italian,4
jamaican,14
italian,7
korean,13
southern_us,12
indian,16
italian,12
indian,20
mexican,15
korean,7
southern_us,6
vietnamese,13
korean,6
indian,24
southern_us,5
mexican,7
mexican,18
italian,9
italian,6
korean,5
thai,20
southern_us,9
chinese,15
french,6
greek,8
southern_us,15
mexican,7
indian,10
southern_us,12
mexican,6
japanese,4
british,11
japanese,17
mexican,6
filipino,14
mexican,7
mexican,11
indian,12
mexican,9
indian,4
greek,9
italian,12
mexican,10
chinese,11
cajun_creole,17
italian,9
mexican,6
italian,13
italian,11
italian,10
chinese,17
italian,9
thai,14
southern_us,12
italian,9
mexican,17
filipino,38
indian,17
filipino,11
italian,11
italian,4
mexican,9
mexican,12
italian,12
indian,9
indian,14
thai,14
vietnamese,6
cajun_creole,10
mexican,16
mexican,4
southern_us,7
chinese,12
italian,16
korean,13
french,9
chinese,18
british,9
indian,13
chinese,15
korean,9
chinese,15
indian,17
italian,16
italian,10
chinese,10
indian,7
southern_us,10
korean,11
vietnamese,4
indian,6
japanese,6
moroccan,13
moroccan,5
italian,12
indian,17
mexican,8
mexican,11
mexican,5
southern_us,8
chinese,15
cajun_creole,8
french,18
indian,6
chinese,21
southern_us,14
french,11
thai,40
mexican,7
mexican,4
french,9
italian,7
italian,5
french,9
greek,4
italian,7
indian,17
filipino,4
french,14
moroccan,15
indian,10
vietnamese,17
thai,6
mexican,14
mexican,14
filipino,12
italian,14
chinese,17
italian,7
cajun_creole,17
korean,8
russian,4
italian,13
irish,9
vietnamese,14
japanese,8
chinese,21
cajun_creole,6
italian,7
french,10
moroccan,13
southern_us,5
brazilian,17
chinese,13
korean,10
italian,14
italian,9
italian,4
spanish,11
southern_us,11
italian,11
italian,3
french,13
italian,6
italian,14
mexican,11
greek,10
french,13
spanish,9
japanese,10
italian,12
japanese,3
greek,8
japanese,9
chinese,7
mexican,6
italian,6
thai,16
chinese,8
mexican,7
british,23
japanese,6
mexican,11
mexican,19
southern_us,9
indian,11
cajun_creole,18
japanese,10
greek,21
chinese,16
thai,11
chinese,14
cajun_creole,6
indian,11
italian,9
brazilian,3
mexican,10
chinese,8
italian,7
french,9
mexican,14
greek,13
russian,9
southern_us,9
irish,5
vietnamese,16
southern_us,11
jamaican,16
indian,13
korean,12
italian,10
italian,10
italian,12
french,8
italian,11
thai,14
mexican,18
italian,2
italian,17
thai,11
greek,14
southern_us,17
mexican,8
italian,11
italian,12
cajun_creole,5
thai,14
mexican,5
irish,8
japanese,9
mexican,10
italian,12
mexican,10
italian,11
italian,13
southern_us,12
indian,9
italian,6
french,12
japanese,12
southern_us,21
italian,10
mexican,13
british,8
mexican,24
mexican,7
french,9
moroccan,11
chinese,10
korean,17
indian,7
chinese,9
southern_us,9
italian,10
mexican,8
southern_us,10
cajun_creole,22
southern_us,10
spanish,9
italian,11
vietnamese,24
korean,14
chinese,18
italian,7
southern_us,11
filipino,13
filipino,10
chinese,9
italian,8
italian,8
southern_us,19
british,17
french,13
mexican,7
mexican,6
mexican,8
chinese,6
chinese,10
mexican,8
irish,13
italian,10
brazilian,4
mexican,5
jamaican,12
irish,13
italian,7
italian,13
cajun_creole,11
greek,7
mexican,10
mexican,5
mexican,13
italian,6
southern_us,9
spanish,13
italian,11
moroccan,13
french,11
mexican,12
jamaican,17
french,12
mexican,10
indian,10
vietnamese,12
mexican,8
french,11
italian,11
filipino,5
italian,12
irish,13
greek,18
irish,7
italian,6
indian,11
vietnamese,7
italian,7
italian,5
mexican,12
thai,11
japanese,7
indian,15
cajun_creole,18
southern_us,11
mexican,16
indian,8
mexican,13
french,5
mexican,14
chinese,8
italian,18
mexican,7
korean,10
moroccan,8
mexican,4
italian,13
southern_us,12
mexican,10
italian,4
french,3
italian,8
mexican,4
italian,8
japanese,5
mexican,8
french,6
mexican,7
indian,10
italian,9
thai,23
chinese,17
chinese,21
indian,22
mexican,10
southern_us,6
southern_us,10
mexican,12
